MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-1216964,TiVFe,Ti,1,12,4,2.46514,4.04584,3,['Amm2'],38,0.0809949,0.0,[2],['SK-1'],['kgm'],False,True
mp-761001,Li3V3P8O29,V,2,86,6,4.94306,7.04232,4,['P1'],1,-2.52473671,0.9215,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-759039,Li3V3P8O29,V,2,86,6,4.9611,7.00278,4,['Cc'],9,-2.51792327,1.1806,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-27573,NaSb3F10,Sb,2,28,6,4.15568,4.66311,3,['P6_3'],173,-2.75476061,4.9964,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1301147,Li3MnCo3O8,Li,2,30,6,2.86315,4.97173,4,['P-1'],2,-1.67973935,0.015,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1189006,KLiMn2(SiO3)4,O,2,20,12,2.55021,2.71997,5,['C2/m'],12,-2.82838233,2.041,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1183270,Al2Si2H4O9,H,1,17,4,2.81323,3.19759,4,['Cm'],8,-2.60744314,4.9419,[2],['SK-1'],['kgm'],False,True
mp-1282801,Li3MnCo3O8,Co,2,30,6,2.82992,4.94219,4,['C2'],5,-1.68818538,0.3097,[2],['SK-1'],['kgm'],False,True
mp-1220144,Pr3ErMn6(FeCo13)2,Mn,2,38,6,4.16173,4.78485,5,['Cm'],8,-0.00582499,0.0,[2],['SK-1'],['kgm'],True,True
mp-1215295,ZrCrFe,Cr,1,12,4,2.44511,4.29,3,['Amm2'],38,-0.12585593,0.0,[2],['SK-1'],['kgm'],False,True
mp-1176916,Li6V3P8O29,V,2,92,6,4.95071,6.9685,4,['P1'],1,-2.6577765,1.1059,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1103459,NpRe2,Re,2,12,8,2.51846,2.78615,2,['P6_3/mmc'],194,0.28482597,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
